ClientInternal,Name,Currency,Sector,Country,Exchange,Ticker,Isin,Cusip,Sedol,Figi,GicsSector,GicsIndustryGroup,GicsIndustry,MarketCap,CouponRate,DayCountConvention,IssuerCountry,InstrumentType,AssetClass,Region,PrimaryExchange,ListingStatus,ShareClass,VotingRights,DividendFrequency,DividendCurrency,LotSize,SettlementCycle,PriceSource,IndexMembership,CFICode,InstrumentClassification,CountryOfRisk,CountryOfIncorporation,LegalEntityIdentifier,ParValueCurrency,TradingCurrency,SettlementCurrency,ESGRating,CorporateGovernance,FloatPercentage,SharesOutstanding,AverageDailyVolume,Beta,PriceEarningsRatio,DividendYield,BookValuePerShare,RevenueGrowthRate,DebtToEquityRatio,ReturnOnEquity
IBOR-TEM,TEMPUS AI INC CLASS A,USD,Health Care,United States,NASDAQ,TEM,US9755972556,737R8IVGR,VTWSPR5,BBGCF39BF3F9,99,9999,999999,Small Cap,,,US,Equity,Equities,North America,ARCA,Trading,Common Stock,Limited Voting,Semi-Annual,USD,10,T+1,ICE,MSCI USA,ESVUFR,Equity / Common Stock / Listed,US,US,D4F92261731B77CD6D77,USD,USD,USD,BBB,Partially Compliant,97.7,127000000,36277551,0.94,34.8,3.13,145.58,27.2,2.08,32.5
IBOR-TSEM,TOWER SEMICONDUCTOR LTD,USD,Information Technology,Israel,NASDAQ,TSEM,IL2372292148,965N81S10,VSH8Q0W,BBG42B609342,45,4510,451020,Small Cap,,,IL,Equity,Equities,Global,TASE,Active,Class A Common,Limited Voting,Annual,USD,10,T+2,ICE,MSCI ACWI,ESVUFR,Equity / Common Stock / Listed,IL,IL,776120D91F0FAF57A236,USD,USD,USD,B,Watch,84.2,132000000,23907784,1.45,75.4,2.94,61.12,23.7,1.63,45.3
IBOR-TSLA,TESLA INC,USD,Consumer Discretionary,United States,NASDAQ,TSLA,US4236712456,KIFGX81GK,RKDY48F,BBGEC64D9547,25,2510,251020,Small Cap,,,US,Equity,Equities,North America,ARCA,Listed,Ordinary Shares,Non-Voting,Quarterly,USD,100,T+1,Bloomberg,Russell 1000,ESXXXX,Equity / Common Stock / Listed,US,US,355868FE828726B89466,USD,USD,USD,B,Partially Compliant,91.7,64000000,14060554,1.28,29.0,2.34,57.97,0.5,2.22,15.8
IBOR-TSM,TAIWAN SEMICONDUCTOR MANUFACTURING,USD,Information Technology,TW,NYSE,TSM,US8740391003,874039100,2113382,BBG000BD8ZK0,45,4510,451020,Small Cap,,,US,Equity,Equities,Global,OTC,Trading,Ordinary Shares,Limited Voting,Semi-Annual,USD,1,T+2,Bloomberg,MSCI ACWI,ESXXXX,Equity / Common Stock / Listed,US,US,1E454FFAD58F01FE3752,USD,USD,USD,B,Partially Compliant,72.9,45000000,847720,1.77,78.5,0.8,132.31,39.0,1.43,34.3
IBOR-TXN,TEXAS INSTRUMENT INC,USD,Information Technology,United States,NASDAQ,TXN,US8825081040,882508104,2885409,BBG000BVV7G1,45,4510,451020,Small Cap,,,US,Equity,Equities,North America,CBOE,Listed,Class A Common,Limited Voting,Quarterly,USD,1,T+1,Refinitiv,S&P 500,ESVUFR,Equity / Common Stock / Listed,US,US,0AF31CF636DE562B1D32,USD,USD,USD,BBB,Compliant,97.1,19000000,27141854,1.63,23.0,3.05,175.1,9.5,0.11,18.4
IBOR-UNH,UNITEDHEALTH GROUP INC,USD,Health Care,US,NYSE,UNH,US91324P1021,91324P102,2917766,BBG000CH5208,99,9999,999999,Small Cap,,,US,Equity,Equities,Global,OTC,Listed,Class A Common,Non-Voting,None,USD,10,T+2,Exchange,MSCI ACWI,ESVUFR,Equity / Common Stock / Listed,US,US,CCA96D0D7FD6B3F84234,USD,USD,USD,CCC,Compliant,79.6,197000000,31297228,1.15,60.3,0,7.75,11.9,0.89,35.3
IBOR-VRT,VERTIV HOLDINGS CLASS A,USD,Industrials,United States,New York Stock Exchange Inc.,VRT,US2520890004,BCT0SE2HF,7J87Y6Q,BBG4D8E37FC7,20,2010,201030,Small Cap,,,US,Equity,Equities,North America,NASDAQ,Active,Class B Common,Non-Voting,Annual,USD,1,T+1,Exchange,S&P 500,ESVUFR,Equity / Common Stock / Listed,US,US,B41229F25921A4BE8C33,USD,USD,USD,AA,Partially Compliant,79.4,73000000,958361,0.88,26.5,3.06,191.04,10.1,2.17,5.5
IBOR-WDC,WESTERN DIGITAL CORP,USD,Information Technology,United States,NASDAQ,WDC,US2076351826,MARO5EUX2,D4878K7,BBGAD8C0874F,45,4510,451020,Small Cap,,,US,Equity,Equities,North America,CBOE,Trading,Ordinary Shares,Full Voting,Quarterly,USD,1000,T+1,ICE,NASDAQ 100,ESXXXX,Equity / Common Stock / Listed,US,US,8EF71AF69FD73FE9DE61,USD,USD,USD,B,Watch,96.8,190000000,21369376,1.55,54.7,3.77,76.67,6.0,2.87,26.5
IBOR-WFC,WELLS FARGO,USD,Financials,United States,New York Stock Exchange Inc.,WFC,US0120756324,BCJ1M700B,RDQCHL7,BBG8C9E4572C,40,4010,401020,Small Cap,,,US,Equity,Equities,North America,ARCA,Trading,Class A Common,Non-Voting,None,USD,10,T+1,Refinitiv,S&P 500,ESVUFR,Equity / Common Stock / Listed,US,US,0938953905E0DB74AF77,USD,USD,USD,BBB,Watch,90.4,29000000,38360722,0.97,68.0,0,181.06,5.1,1.61,12.4
IBOR-WMT,WALMART INC,USD,Consumer Staples,US,NYSE,WMT,US9311421039,931142103,2936921,BBG000BWXBC2,30,3010,301010,Small Cap,,,US,Equity,Equities,Global,OTC,Active,Ordinary Shares,Limited Voting,None,USD,1,T+2,Exchange,MSCI ACWI,ESXXXX,Equity / Common Stock / Listed,US,US,E8ADB74F093757787668,USD,USD,USD,AA,Watch,82.0,154000000,4374649,1.09,57.1,0,65.09,-3.9,0.76,5.1
IBOR-WULF,TERAWULF INC,USD,Information Technology,United States,NASDAQ,WULF,US9634346627,6WWUR8JG0,FYCD7LL,BBGD8B285D88,45,4510,451020,Small Cap,,,US,Equity,Equities,North America,NASDAQ,Trading,Common Stock,Full Voting,None,USD,100,T+1,Bloomberg,S&P 500,ESVUFR,Equity / Common Stock / Listed,US,US,51C7835C9CBB60265918,USD,USD,USD,BBB,Compliant,78.3,56000000,9588477,1.61,78.5,0,130.95,16.0,2.98,22.2
IBOR-XXI,TWENTY ONE CAPITAL INC CLASS A,USD,Financials,United States,New York Stock Exchange Inc.,XXI,US0791435010,71LITRCED,YJCC8TB,BBGB21297BD5,40,4010,401020,Small Cap,,,US,Equity,Equities,North America,ARCA,Listed,Common Stock,Limited Voting,Semi-Annual,USD,100,T+1,Bloomberg,NASDAQ 100,ESVUFR,Equity / Common Stock / Listed,US,US,DF921B78AFD68E42F378,USD,USD,USD,BBB,Watch,73.7,67000000,733088,1.35,78.5,1.96,145.22,16.2,1.14,15.3
IBOR-XYZ,BLOCK INC CLASS A,USD,Financials,United States,New York Stock Exchange Inc.,XYZ,US4650753550,E89X8X1B9,842VHVP,BBG901F49022,40,4010,401020,Small Cap,,,US,Equity,Equities,North America,ARCA,Listed,Ordinary Shares,Non-Voting,Semi-Annual,USD,1,T+1,Bloomberg,MSCI USA,ESXXXX,Equity / Common Stock / Listed,US,US,C092440AA3C8F5418B88,USD,USD,USD,CCC,Compliant,77.0,27000000,7271063,1.26,41.3,2.75,175.08,7.2,0.13,24.8
