Fund Holdings as of,"28/Apr/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","150,992,805.15","0.11","150,992,805.15","2,951,961.00","51.15","United States","New York Stock Exchange Inc.","USD"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Equity","150,913,352.59","0.11","150,913,352.59","1,838,837.00","82.07","United States","NASDAQ","USD"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","150,540,854.67","0.11","150,540,854.67","588,303.00","255.89","United States","New York Stock Exchange Inc.","USD"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","150,248,985.21","0.10","150,248,985.21","873,693.00","171.97","United States","NASDAQ","USD"
"PCAR","PACCAR INC","Industrials","Equity","147,406,646.34","0.10","147,406,646.34","1,232,394.00","119.61","United States","NASDAQ","USD"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","146,928,914.64","0.10","146,928,914.64","755,108.00","194.58","United States","New York Stock Exchange Inc.","USD"
"KMI","KINDER MORGAN INC","Energy","Equity","145,539,547.45","0.10","145,539,547.45","4,578,155.00","31.79","United States","New York Stock Exchange Inc.","USD"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","143,098,697.70","0.10","143,098,697.70","694,890.00","205.93","United States","New York Stock Exchange Inc.","USD"
"COR","CENCORA INC","Health Care","Equity","141,931,114.78","0.10","141,931,114.78","454,922.00","311.99","United States","New York Stock Exchange Inc.","USD"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","141,889,390.72","0.10","141,889,390.72","436,744.00","324.88","United States","New York Stock Exchange Inc.","USD"
"URI","UNITED RENTALS INC","Industrials","Equity","141,834,649.44","0.10","141,834,649.44","147,327.00","962.72","United States","New York Stock Exchange Inc.","USD"
"SRE","SEMPRA","Utilities","Equity","141,636,454.80","0.10","141,636,454.80","1,524,612.00","92.90","United States","New York Stock Exchange Inc.","USD"
"FIX","COMFORT SYSTEMS USA INC","Industrials","Equity","141,472,071.69","0.10","141,472,071.69","82,289.00","1,719.21","United States","New York Stock Exchange Inc.","USD"
"TEL","TE CONNECTIVITY PLC","Information Technology","Equity","140,165,122.50","0.10","140,165,122.50","686,075.00","204.30","United States","New York Stock Exchange Inc.","USD"
"TER","TERADYNE INC","Information Technology","Equity","139,248,461.34","0.10","139,248,461.34","366,318.00","380.13","United States","NASDAQ","USD"
"CTAS","CINTAS CORP","Industrials","Equity","138,467,965.36","0.10","138,467,965.36","794,788.00","174.22","United States","NASDAQ","USD"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","137,855,952.10","0.10","137,855,952.10","38,690.00","3,563.09","United States","New York Stock Exchange Inc.","USD"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","137,588,978.56","0.10","137,588,978.56","989,564.00","139.04","United States","NASDAQ","USD"
"O","REALTY INCOME REIT CORP","Real Estate","Equity","136,709,268.40","0.10","136,709,268.40","2,151,208.00","63.55","United States","New York Stock Exchange Inc.","USD"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","135,720,905.88","0.09","135,720,905.88","589,092.00","230.39","United States","NASDAQ","USD"
"TGT","TARGET CORP","Consumer Staples","Equity","134,605,025.10","0.09","134,605,025.10","1,058,715.00","127.14","United States","New York Stock Exchange Inc.","USD"
"CVNA","CARVANA CLASS A","Consumer Discretionary","Equity","134,492,506.40","0.09","134,492,506.40","330,920.00","406.42","United States","New York Stock Exchange Inc.","USD"
"APO","APOLLO GLOBAL MANAGEMENT INC","Financials","Equity","134,188,493.67","0.09","134,188,493.67","1,085,931.00","123.57","United States","New York Stock Exchange Inc.","USD"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Information Technology","Equity","133,539,407.20","0.09","133,539,407.20","401,864.00","332.30","United States","New York Stock Exchange Inc.","USD"
"COHR","COHERENT CORP","Information Technology","Equity","133,277,774.29","0.09","133,277,774.29","438,457.00","303.97","United States","New York Stock Exchange Inc.","USD"
"OKE","ONEOK INC","Energy","Equity","132,522,946.59","0.09","132,522,946.59","1,475,921.00","89.79","United States","New York Stock Exchange Inc.","USD"
"LITE","LUMENTUM HOLDINGS INC","Information Technology","Equity","132,150,084.93","0.09","132,150,084.93","166,989.00","791.37","United States","NASDAQ","USD"
"ALL","ALLSTATE CORP","Financials","Equity","131,560,163.60","0.09","131,560,163.60","607,949.00","216.40","United States","New York Stock Exchange Inc.","USD"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","128,734,008.45","0.09","128,734,008.45","1,667,755.00","77.19","United States","NASDAQ","USD"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","128,448,320.94","0.09","128,448,320.94","601,857.00","213.42","United States","New York Stock Exchange Inc.","USD"
"AFL","AFLAC INC","Financials","Equity","126,930,767.58","0.09","126,930,767.58","1,091,502.00","116.29","United States","New York Stock Exchange Inc.","USD"
"FTNT","FORTINET INC","Information Technology","Equity","126,705,389.32","0.09","126,705,389.32","1,478,131.00","85.72","United States","NASDAQ","USD"
"D","DOMINION ENERGY INC","Utilities","Equity","125,978,040.61","0.09","125,978,040.61","2,003,149.00","62.89","United States","New York Stock Exchange Inc.","USD"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","125,497,394.19","0.09","125,497,394.19","2,786,973.00","45.03","United States","New York Stock Exchange Inc.","USD"
"TRGP","TARGA RESOURCES CORP","Energy","Equity","124,896,828.42","0.09","124,896,828.42","502,866.00","248.37","United States","New York Stock Exchange Inc.","USD"
"CTVA","CORTEVA INC","Materials","Equity","124,135,439.26","0.09","124,135,439.26","1,572,529.00","78.94","United States","New York Stock Exchange Inc.","USD"
"AME","AMETEK INC","Industrials","Equity","123,537,069.95","0.09","123,537,069.95","539,581.00","228.95","United States","New York Stock Exchange Inc.","USD"
"NUE","NUCOR CORP","Materials","Equity","120,742,926.03","0.08","120,742,926.03","536,373.00","225.11","United States","New York Stock Exchange Inc.","USD"
"VST","VISTRA CORP","Utilities","Equity","119,890,842.08","0.08","119,890,842.08","744,109.00","161.12","United States","New York Stock Exchange Inc.","USD"
"FAST","FASTENAL","Industrials","Equity","119,831,983.40","0.08","119,831,983.40","2,682,005.00","44.68","United States","NASDAQ","USD"
"GWW","WW GRAINGER INC","Industrials","Equity","118,976,997.56","0.08","118,976,997.56","102,554.00","1,160.14","United States","New York Stock Exchange Inc.","USD"
"ETR","ENTERGY CORP","Utilities","Equity","118,655,162.76","0.08","118,655,162.76","1,048,561.00","113.16","United States","New York Stock Exchange Inc.","USD"
"ADSK","AUTODESK INC","Information Technology","Equity","116,411,387.40","0.08","116,411,387.40","495,684.00","234.85","United States","NASDAQ","USD"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","115,134,833.15","0.08","115,134,833.15","987,011.00","116.65","United States","New York Stock Exchange Inc.","USD"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","113,901,936.00","0.08","113,901,936.00","1,837,128.00","62.00","United States","New York Stock Exchange Inc.","USD"
"CAH","CARDINAL HEALTH INC","Health Care","Equity","113,123,126.63","0.08","113,123,126.63","550,183.00","205.61","United States","New York Stock Exchange Inc.","USD"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","113,097,833.20","0.08","113,097,833.20","9,120,793.00","12.40","United States","New York Stock Exchange Inc.","USD"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","111,669,099.52","0.08","111,669,099.52","1,357,184.00","82.28","United States","New York Stock Exchange Inc.","USD"
"EXC","EXELON CORP","Utilities","Equity","111,552,114.24","0.08","111,552,114.24","2,371,431.00","47.04","United States","NASDAQ","USD"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","110,184,860.52","0.08","110,184,860.52","370,818.00","297.14","United States","New York Stock Exchange Inc.","USD"
"XEL","XCEL ENERGY INC","Utilities","Equity","109,824,987.12","0.08","109,824,987.12","1,381,794.00","79.48","United States","NASDAQ","USD"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","106,860,722.96","0.07","106,860,722.96","2,152,714.00","49.64","United States","NASDAQ","USD"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","106,688,074.02","0.07","106,688,074.02","1,266,177.00","84.26","United States","NASDAQ","USD"
"EA","ELECTRONIC ARTS INC","Communication","Equity","106,556,703.84","0.07","106,556,703.84","526,128.00","202.53","United States","NASDAQ","USD"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","106,226,067.70","0.07","106,226,067.70","186,919.00","568.30","United States","NASDAQ","USD"
"EBAY","EBAY INC","Consumer Discretionary","Equity","106,073,093.36","0.07","106,073,093.36","1,056,926.00","100.36","United States","NASDAQ","USD"
"FITB","FIFTH THIRD BANCORP","Financials","Equity","106,006,389.84","0.07","106,006,389.84","2,107,064.00","50.31","United States","NASDAQ","USD"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","105,766,801.43","0.07","105,766,801.43","263,567.00","401.29","United States","New York Stock Exchange Inc.","USD"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrials","Equity","104,787,485.62","0.07","104,787,485.62","398,159.00","263.18","United States","New York Stock Exchange Inc.","USD"
"MSCI","MSCI INC","Financials","Equity","102,176,661.42","0.07","102,176,661.42","171,789.00","594.78","United States","New York Stock Exchange Inc.","USD"
"DAL","DELTA AIR LINES INC","Industrials","Equity","101,866,734.06","0.07","101,866,734.06","1,515,423.00","67.22","United States","New York Stock Exchange Inc.","USD"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","101,509,057.56","0.07","101,509,057.56","648,786.00","156.46","United States","New York Stock Exchange Inc.","USD"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","101,494,355.25","0.07","101,494,355.25","213,515.00","475.35","United States","New York Stock Exchange Inc.","USD"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Equity","101,230,525.80","0.07","101,230,525.80","521,538.00","194.10","United States","NASDAQ","USD"
"MET","METLIFE INC","Financials","Equity","100,561,619.20","0.07","100,561,619.20","1,284,640.00","78.28","United States","New York Stock Exchange Inc.","USD"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","100,103,514.19","0.07","100,103,514.19","3,045,437.00","32.87","United States","New York Stock Exchange Inc.","USD"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","100,107,445.20","0.07","100,107,445.20","760,984.00","131.55","United States","NASDAQ","USD"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","99,823,360.42","0.07","99,823,360.42","679,394.00","146.93","United States","New York Stock Exchange Inc.","USD"
"STT","STATE STREET CORP","Financials","Equity","99,617,471.20","0.07","99,617,471.20","653,315.00","152.48","United States","New York Stock Exchange Inc.","USD"
"BDX","BECTON DICKINSON","Health Care","Equity","99,545,332.32","0.07","99,545,332.32","665,766.00","149.52","United States","New York Stock Exchange Inc.","USD"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","98,741,204.76","0.07","98,741,204.76","1,684,716.00","58.61","United States","New York Stock Exchange Inc.","USD"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","98,531,887.19","0.07","98,531,887.19","629,959.00","156.41","United States","New York Stock Exchange Inc.","USD"
"RSG","REPUBLIC SERVICES INC","Industrials","Equity","97,931,660.90","0.07","97,931,660.90","470,486.00","208.15","United States","New York Stock Exchange Inc.","USD"
"VTR","VENTAS REIT INC","Real Estate","Equity","96,202,475.46","0.07","96,202,475.46","1,098,578.00","87.57","United States","New York Stock Exchange Inc.","USD"
"NDAQ","NASDAQ INC","Financials","Equity","95,878,421.92","0.07","95,878,421.92","1,050,032.00","91.31","United States","NASDAQ","USD"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrials","Equity","95,843,893.29","0.07","95,843,893.29","432,177.00","221.77","United States","NASDAQ","USD"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","94,752,879.41","0.07","94,752,879.41","382,361.00","247.81","United States","New York Stock Exchange Inc.","USD"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","94,539,650.16","0.07","94,539,650.16","1,172,076.00","80.66","United States","New York Stock Exchange Inc.","USD"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","92,915,064.00","0.06","92,915,064.00","1,252,900.00","74.16","United States","New York Stock Exchange Inc.","USD"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","92,788,835.58","0.06","92,788,835.58","846,459.00","109.62","United States","New York Stock Exchange Inc.","USD"
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","91,408,566.69","0.06","91,408,566.69","3,175,011.00","28.79","United States","NASDAQ","USD"
"KR","KROGER","Consumer Staples","Equity","91,114,486.20","0.06","91,114,486.20","1,361,340.00","66.93","United States","New York Stock Exchange Inc.","USD"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","90,791,029.14","0.06","90,791,029.14","453,819.00","200.06","United States","NASDAQ","USD"
"HIG","HARTFORD INSURANCE GROUP INC","Financials","Equity","90,435,702.79","0.06","90,435,702.79","651,601.00","138.79","United States","New York Stock Exchange Inc.","USD"
"EME","EMCOR GROUP INC","Industrials","Equity","90,345,341.54","0.06","90,345,341.54","104,593.00","863.78","United States","New York Stock Exchange Inc.","USD"
"VMC","VULCAN MATERIALS","Materials","Equity","90,326,077.14","0.06","90,326,077.14","309,909.00","291.46","United States","New York Stock Exchange Inc.","USD"
"XYZ","BLOCK INC CLASS A","Financials","Equity","89,287,412.88","0.06","89,287,412.88","1,283,972.00","69.54","United States","New York Stock Exchange Inc.","USD"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","88,274,325.36","0.06","88,274,325.36","249,278.00","354.12","United States","NASDAQ","USD"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","88,221,465.50","0.06","88,221,465.50","761,975.00","115.78","United States","New York Stock Exchange Inc.","USD"
"CCI","CROWN CASTLE INC","Real Estate","Equity","87,555,958.28","0.06","87,555,958.28","1,016,084.00","86.17","United States","New York Stock Exchange Inc.","USD"
"EQT","EQT CORP","Energy","Equity","86,639,588.96","0.06","86,639,588.96","1,458,088.00","59.42","United States","New York Stock Exchange Inc.","USD"
"MLM","MARTIN MARIETTA MATERIALS INC","Materials","Equity","86,539,113.36","0.06","86,539,113.36","140,934.00","614.04","United States","New York Stock Exchange Inc.","USD"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","86,293,759.16","0.06","86,293,759.16","405,116.00","213.01","United States","NASDAQ","USD"
"ON","ON SEMICONDUCTOR CORP","Information Technology","Equity","85,955,610.60","0.06","85,955,610.60","921,282.00","93.30","United States","NASDAQ","USD"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","85,826,037.05","0.06","85,826,037.05","3,070,699.00","27.95","United States","New York Stock Exchange Inc.","USD"
"PCG","PG&E CORP","Utilities","Equity","83,450,986.62","0.06","83,450,986.62","5,132,287.00","16.26","United States","New York Stock Exchange Inc.","USD"
"SYY","SYSCO CORP","Consumer Staples","Equity","81,861,036.73","0.06","81,861,036.73","1,115,729.00","73.37","United States","New York Stock Exchange Inc.","USD"
"JBL","JABIL INC","Information Technology","Equity","81,599,219.50","0.06","81,599,219.50","246,650.00","330.83","United States","New York Stock Exchange Inc.","USD"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","81,319,856.80","0.06","81,319,856.80","1,117,031.00","72.80","United States","New York Stock Exchange Inc.","USD"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Equity","81,124,689.20","0.06","81,124,689.20","835,820.00","97.06","United States","NASDAQ","USD"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Equity","80,607,422.70","0.06","80,607,422.70","1,040,230.00","77.49","United States","NASDAQ","USD"
"HAL","HALLIBURTON","Energy","Equity","80,432,265.76","0.06","80,432,265.76","1,970,896.00","40.81","United States","New York Stock Exchange Inc.","USD"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","78,855,957.73","0.06","78,855,957.73","813,703.00","96.91","United States","New York Stock Exchange Inc.","USD"
"HBAN","HUNTINGTON BANCSHARES INC","Financials","Equity","78,825,912.25","0.06","78,825,912.25","4,762,895.00","16.55","United States","NASDAQ","USD"
"KVUE","KENVUE INC","Consumer Staples","Equity","78,447,018.56","0.05","78,447,018.56","4,472,464.00","17.54","United States","New York Stock Exchange Inc.","USD"
"IRM","IRON MOUNTAIN INC","Real Estate","Equity","78,036,875.64","0.05","78,036,875.64","692,922.00","112.62","United States","New York Stock Exchange Inc.","USD"
"FISV","FISERV INC","Financials","Equity","77,471,301.60","0.05","77,471,301.60","1,257,651.00","61.60","United States","NASDAQ","USD"
"MTB","M&T BANK CORP","Financials","Equity","77,228,300.80","0.05","77,228,300.80","355,040.00","217.52","United States","New York Stock Exchange Inc.","USD"
"NRG","NRG ENERGY INC","Utilities","Equity","76,955,896.19","0.05","76,955,896.19","497,099.00","154.81","United States","New York Stock Exchange Inc.","USD"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","76,516,427.60","0.05","76,516,427.60","777,290.00","98.44","United States","NASDAQ","USD"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","76,239,793.35","0.05","76,239,793.35","663,705.00","114.87","United States","New York Stock Exchange Inc.","USD"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","75,098,683.61","0.05","75,098,683.61","184,831.00","406.31","United States","NASDAQ","USD"
"CBOE","CBOE GLOBAL MARKETS INC","Financials","Equity","73,832,191.48","0.05","73,832,191.48","243,157.00","303.64","United States","Cboe BZX","USD"
"RMD","RESMED INC","Health Care","Equity","73,755,292.38","0.05","73,755,292.38","339,667.00","217.14","United States","New York Stock Exchange Inc.","USD"
"STLD","STEEL DYNAMICS INC","Materials","Equity","73,374,806.24","0.05","73,374,806.24","323,294.00","226.96","United States","NASDAQ","USD"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Health Care","Equity","73,083,951.50","0.05","73,083,951.50","1,066,919.00","68.50","United States","NASDAQ","USD"
"NTRS","NORTHERN TRUST CORP","Financials","Equity","72,722,502.50","0.05","72,722,502.50","435,725.00","166.90","United States","NASDAQ","USD"
"AEE","AMEREN CORP","Utilities","Equity","72,511,942.80","0.05","72,511,942.80","646,274.00","112.20","United States","New York Stock Exchange Inc.","USD"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","72,391,053.37","0.05","72,391,053.37","386,849.00","187.13","United States","New York Stock Exchange Inc.","USD"
"DTE","DTE ENERGY","Utilities","Equity","72,177,340.98","0.05","72,177,340.98","485,781.00","148.58","United States","New York Stock Exchange Inc.","USD"
"DVN","DEVON ENERGY CORP","Energy","Equity","71,763,466.44","0.05","71,763,466.44","1,450,353.00","49.48","United States","New York Stock Exchange Inc.","USD"
"VICI","VICI PPTYS INC","Real Estate","Equity","71,734,443.00","0.05","71,734,443.00","2,503,820.00","28.65","United States","New York Stock Exchange Inc.","USD"
"CCL","CARNIVAL CORP","Consumer Discretionary","Equity","70,729,720.90","0.05","70,729,720.90","2,689,343.00","26.30","United States","New York Stock Exchange Inc.","USD"
"DOV","DOVER CORP","Industrials","Equity","70,689,721.48","0.05","70,689,721.48","315,382.00","224.14","United States","New York Stock Exchange Inc.","USD"
"TDY","TELEDYNE TECHNOLOGIES INC","Information Technology","Equity","70,608,541.89","0.05","70,608,541.89","110,001.00","641.89","United States","New York Stock Exchange Inc.","USD"
"OTIS","OTIS WORLDWIDE CORP","Industrials","Equity","70,284,654.40","0.05","70,284,654.40","908,540.00","77.36","United States","New York Stock Exchange Inc.","USD"
"EXR","EXTRA SPACE STORAGE REIT INC","Real Estate","Equity","70,275,624.76","0.05","70,275,624.76","498,338.00","141.02","United States","New York Stock Exchange Inc.","USD"
"CPRT","COPART INC","Industrials","Equity","69,540,772.04","0.05","69,540,772.04","2,085,806.00","33.34","United States","NASDAQ","USD"
"WAT","WATERS CORP","Health Care","Equity","68,837,698.46","0.05","68,837,698.46","228,902.00","300.73","United States","New York Stock Exchange Inc.","USD"
"PAYX","PAYCHEX INC","Industrials","Equity","68,498,545.86","0.05","68,498,545.86","752,814.00","90.99","United States","NASDAQ","USD"
"UAL","UNITED AIRLINES HOLDINGS INC","Industrials","Equity","68,390,282.86","0.05","68,390,282.86","756,446.00","90.41","United States","NASDAQ","USD"
"TPR","TAPESTRY INC","Consumer Discretionary","Equity","68,095,294.40","0.05","68,095,294.40","473,410.00","143.84","United States","New York Stock Exchange Inc.","USD"
"CASY","CASEYS GENERAL STORES INC","Consumer Staples","Equity","67,911,918.55","0.05","67,911,918.55","86,555.00","784.61","United States","NASDAQ","USD"
"HUBB","HUBBELL INC","Industrials","Equity","67,649,713.74","0.05","67,649,713.74","124,194.00","544.71","United States","New York Stock Exchange Inc.","USD"
"IR","INGERSOLL RAND INC","Industrials","Equity","67,567,454.66","0.05","67,567,454.66","832,214.00","81.19","United States","New York Stock Exchange Inc.","USD"
"PPL","PPL CORP","Utilities","Equity","67,202,033.29","0.05","67,202,033.29","1,723,571.00","38.99","United States","New York Stock Exchange Inc.","USD"
"XYL","XYLEM INC","Industrials","Equity","67,102,227.27","0.05","67,102,227.27","569,097.00","117.91","United States","New York Stock Exchange Inc.","USD"
"Q","QNITY ELECTRONICS INC","Information Technology","Equity","67,055,999.99","0.05","67,055,999.99","487,361.00","137.59","United States","New York Stock Exchange Inc.","USD"
"EXPE","EXPEDIA GROUP INC","Consumer Discretionary","Equity","66,259,649.36","0.05","66,259,649.36","273,608.00","242.17","United States","NASDAQ","USD"
"CNP","CENTERPOINT ENERGY INC","Utilities","Equity","65,715,628.32","0.05","65,715,628.32","1,523,664.00","43.13","United States","New York Stock Exchange Inc.","USD"
"HSY","HERSHEY FOODS","Consumer Staples","Equity","64,730,923.20","0.05","64,730,923.20","344,460.00","187.92","United States","New York Stock Exchange Inc.","USD"
"HUM","HUMANA INC","Health Care","Equity","64,635,397.52","0.05","64,635,397.52","281,366.00","229.72","United States","New York Stock Exchange Inc.","USD"
"CFG","CITIZENS FINANCIAL GROUP INC","Financials","Equity","64,586,737.05","0.05","64,586,737.05","993,795.00","64.99","United States","New York Stock Exchange Inc.","USD"
"WTW","WILLIS TOWERS WATSON PLC","Financials","Equity","64,460,171.52","0.05","64,460,171.52","221,604.00","290.88","United States","NASDAQ","USD"
"RJF","RAYMOND JAMES INC","Financials","Equity","63,835,079.66","0.04","63,835,079.66","410,014.00","155.69","United States","New York Stock Exchange Inc.","USD"
"IQV","IQVIA HOLDINGS INC","Health Care","Equity","63,152,261.32","0.04","63,152,261.32","397,234.00","158.98","United States","New York Stock Exchange Inc.","USD"
"DOW","DOW INC","Materials","Equity","62,809,548.48","0.04","62,809,548.48","1,652,448.00","38.01","United States","New York Stock Exchange Inc.","USD"
"BIIB","BIOGEN INC","Health Care","Equity","62,519,560.02","0.04","62,519,560.02","340,929.00","183.38","United States","NASDAQ","USD"
"SYF","SYNCHRONY FINANCIAL","Financials","Equity","61,973,178.75","0.04","61,973,178.75","812,763.00","76.25","United States","New York Stock Exchange Inc.","USD"
"EIX","EDISON INTERNATIONAL","Utilities","Equity","61,672,331.18","0.04","61,672,331.18","907,747.00","67.94","United States","New York Stock Exchange Inc.","USD"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","61,606,190.88","0.04","61,606,190.88","1,117,674.00","55.12","United States","NASDAQ","USD"
"CTRA","COTERRA ENERGY INC","Energy","Equity","61,405,223.40","0.04","61,405,223.40","1,773,180.00","34.63","United States","New York Stock Exchange Inc.","USD"
"AVB","AVALONBAY COMMUNITIES REIT INC","Real Estate","Equity","61,027,145.50","0.04","61,027,145.50","332,573.00","183.50","United States","New York Stock Exchange Inc.","USD"
"AWK","AMERICAN WATER WORKS INC","Utilities","Equity","60,569,029.13","0.04","60,569,029.13","456,539.00","132.67","United States","New York Stock Exchange Inc.","USD"
"FE","FIRSTENERGY CORP","Utilities","Equity","60,384,176.12","0.04","60,384,176.12","1,217,914.00","49.58","United States","New York Stock Exchange Inc.","USD"
"WDAY","WORKDAY INC CLASS A","Information Technology","Equity","60,348,972.98","0.04","60,348,972.98","498,011.00","121.18","United States","NASDAQ","USD"
"ES","EVERSOURCE ENERGY","Utilities","Equity","60,285,797.64","0.04","60,285,797.64","879,058.00","68.58","United States","New York Stock Exchange Inc.","USD"
"MTD","METTLER TOLEDO INC","Health Care","Equity","60,019,561.68","0.04","60,019,561.68","47,541.00","1,262.48","United States","New York Stock Exchange Inc.","USD"
"CINF","CINCINNATI FINANCIAL CORP","Financials","Equity","59,874,046.56","0.04","59,874,046.56","362,961.00","164.96","United States","NASDAQ","USD"
"DG","DOLLAR GENERAL CORP","Consumer Staples","Equity","59,760,456.14","0.04","59,760,456.14","515,977.00","115.82","United States","New York Stock Exchange Inc.","USD"
"TPL","TEXAS PACIFIC LAND CORP","Energy","Equity","58,448,568.70","0.04","58,448,568.70","135,643.00","430.90","United States","New York Stock Exchange Inc.","USD"
"VRSK","VERISK ANALYTICS INC","Industrials","Equity","57,673,130.24","0.04","57,673,130.24","326,464.00","176.66","United States","NASDAQ","USD"
"RF","REGIONS FINANCIAL CORP","Financials","Equity","57,347,172.48","0.04","57,347,172.48","2,024,256.00","28.33","United States","New York Stock Exchange Inc.","USD"
"PPG","PPG INDUSTRIES INC","Materials","Equity","56,783,540.48","0.04","56,783,540.48","527,336.00","107.68","United States","New York Stock Exchange Inc.","USD"
"LYV","LIVE NATION ENTERTAINMENT INC","Communication","Equity","56,672,545.00","0.04","56,672,545.00","366,220.00","154.75","United States","New York Stock Exchange Inc.","USD"
"OMC","OMNICOM GROUP INC","Communication","Equity","56,551,544.16","0.04","56,551,544.16","735,582.00","76.88","United States","New York Stock Exchange Inc.","USD"
"PHM","PULTEGROUP INC","Consumer Discretionary","Equity","56,122,303.90","0.04","56,122,303.90","449,230.00","124.93","United States","New York Stock Exchange Inc.","USD"
"FICO","FAIR ISAAC CORP","Information Technology","Equity","56,038,288.00","0.04","56,038,288.00","55,456.00","1,010.50","United States","New York Stock Exchange Inc.","USD"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Financials","Equity","56,039,343.90","0.04","56,039,343.90","1,210,353.00","46.30","United States","New York Stock Exchange Inc.","USD"
"ULTA","ULTA BEAUTY INC","Consumer Discretionary","Equity","55,745,882.20","0.04","55,745,882.20","103,588.00","538.15","United States","NASDAQ","USD"
"ARES","ARES MANAGEMENT CORP CLASS A","Financials","Equity","54,264,689.76","0.04","54,264,689.76","480,176.00","113.01","United States","New York Stock Exchange Inc.","USD"
"NI","NISOURCE INC","Utilities","Equity","54,217,228.50","0.04","54,217,228.50","1,117,881.00","48.50","United States","New York Stock Exchange Inc.","USD"
"CMS","CMS ENERGY CORP","Utilities","Equity","54,119,951.60","0.04","54,119,951.60","712,855.00","75.92","United States","New York Stock Exchange Inc.","USD"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Real Estate","Equity","54,062,628.99","0.04","54,062,628.99","248,461.00","217.59","United States","NASDAQ","USD"
"CNC","CENTENE CORP","Health Care","Equity","54,038,438.08","0.04","54,038,438.08","1,090,144.00","49.57","United States","New York Stock Exchange Inc.","USD"
"EXE","EXPAND ENERGY CORP","Energy","Equity","53,945,053.44","0.04","53,945,053.44","556,364.00","96.96","United States","NASDAQ","USD"
"CHD","CHURCH AND DWIGHT INC","Consumer Staples","Equity","53,731,061.76","0.04","53,731,061.76","553,472.00","97.08","United States","New York Stock Exchange Inc.","USD"
"DXCM","DEXCOM INC","Health Care","Equity","53,381,474.80","0.04","53,381,474.80","899,890.00","59.32","United States","NASDAQ","USD"
